Spec,Gender,St_Hr,School_AV,branch,level,Age,GPA
CS,F,6,80,P,3,20,78
CS,F,7,82,P,4,22,73
CS,F,4,81,P,3,20,80
CS,M,3,,P,3,22,67
CS,M,3,,P,3,22,67
CS,F,6,80,P,2,19,77
CS,F,6,80,P,2,19,65
CS,F,7,81,P,4,23,72
CS,M,5,70,P,2,19,70
CS,M,6,77,P,1,18,76
CS,,3,81,P,1,20,65
MIS,F,7,71,A,2,,84
MIS,F,6,72,A,3,21,85
MIS,F,5,76,P,3,22,81
MIS,F,5,76,P,3,22,81
MIS,F,4,75,P,2,20,80
MIS,M,6,80,A,4,23,83
MIS,M,4,77,P,3,22,76
MIS,M,3,78,P,3,24,70
MIS,F,7,82,A,2,20,88
MIS,M,4,72,P,2,19,75
BA,F,5,54,A,2,20,89
BA,F,4,59,A,3,21,80
BA,M,5,60,A,3,22,84
BA,M,5,61,A,3,22,82
BA,M,5,62,A,3,22,82
BA,F,3,71,A,3,,77
BA,M,5,60,P,4,23,79
BA,F,5,66,A,2,20,82
BA,F,4,65,A,1,20,80
ACC,F,3,56,A,2,20,90
ACC,F,3,57,A,2,,82
ACC,F,4,59,A,3,22,81
ACC,F,3,66,A,4,23,83
ACC,F,4,63,A,4,22,82
ACC,F,4,61,A,4,22,82
ACC,M,5,58,A,2,,88
ACC,F,3,66,P,3,25,80
CS,F,5,56,P,3,20,75
CS,F,7,88,P,6,22,75
CS,M,4,75,P,3,20,80
CS,M,3,,P,3,22,67
CS,M,3,,P,3,22,64
CS,F,6,80,P,2,22,75
CS,F,6,65,P,2,19,65
CS,F,5,81,P,4,23,73
CS,M,5,65,P,2,19,70
CS,M,6,89,P,1,18,76
CS,,3,81,P,1,20,60
MIS,F,7,72,A,2,,84
MIS,F,7,75,A,3,21,86
MIS,F,6,72,P,3,22,78
MIS,F,5,76,P,3,20,77
MIS,F,5,75,P,2,20,80
MIS,M,4,80,A,4,23,83
MIS,M,3,67,P,3,22,76
MIS,M,4,66,P,3,24,70
MIS,F,6,82,A,2,20,88
MIS,M,3,72,P,2,19,75
BA,F,6,54,A,2,20,89
BA,F,5,60,A,3,21,80
BA,M,4,66,A,3,22,84
BA,M,4,66,A,3,22,82
BA,M,4,66,A,3,22,82
BA,F,6,70,A,3,,77
BA,M,4,72,P,4,23,79
BA,F,4,65,A,2,20,82
BA,F,5,67,A,1,20,80
ACC,F,4,66,A,2,20,90
ACC,F,5,67,A,2,,82
ACC,F,5,65,A,3,22,81
ACC,F,5,64,A,4,23,83
ACC,F,6,67,A,4,22,82
ACC,F,6,67,A,4,22,82
ACC,M,6,68,A,2,,88
ACC,F,5,70,P,3,25,80
CS,F,4,78,P,2,19,74
CS,M,7,85,P,4,21,81
CS,F,5,83,P,3,20,79
CS,M,6,79,P,2,20,77
CS,F,3,77,P,1,18,72
CS,M,5,80,P,3,21,75
CS,F,6,84,P,4,22,82
CS,M,4,76,P,2,19,73
CS,F,7,87,P,5,23,85
CS,M,5,82,P,3,22,78
MIS,F,6,74,A,3,21,83
MIS,M,5,73,A,2,20,79
MIS,F,4,78,P,3,22,80
MIS,M,6,81,A,4,23,85
MIS,F,7,80,A,3,21,87
MIS,M,4,79,P,2,20,76
MIS,F,5,77,P,3,21,82
MIS,M,6,83,A,4,24,86
MIS,F,3,75,P,2,19,78
MIS,M,5,82,P,3,22,80
BA,F,6,58,A,2,20,90
BA,M,5,62,A,3,21,85
BA,F,4,64,A,2,19,83
BA,M,6,68,A,4,23,87
BA,F,5,70,A,3,22,88
BA,M,4,69,A,2,20,84
BA,F,6,73,A,4,22,89
BA,M,5,75,A,3,21,86
BA,F,4,72,A,2,20,85
BA,M,6,74,A,4,23,88
ACC,F,5,68,A,2,20,91
ACC,M,4,67,A,3,21,87
ACC,F,6,69,A,4,22,90
ACC,M,5,71,A,3,22,89
ACC,F,4,73,A,2,19,88
ACC,M,6,75,A,4,24,92
ACC,F,5,77,P,3,21,86
ACC,M,4,79,P,2,20,85
ACC,F,6,81,P,4,23,90
ACC,M,5,83,P,3,22,88
CS,F,6,85,P,4,22,84
MIS,M,7,82,A,3,21,89
BA,F,5,78,A,3,22,91
ACC,F,4,80,A,2,20,93
CS,M,5,88,P,3,21,83
MIS,F,6,79,A,4,23,88
BA,M,4,77,A,2,20,86
ACC,M,6,82,A,4,24,93
CS,F,7,90,P,5,23,87
